Message_0_Page_0 I don't remember your face, are you new?
Message_1_Page_0 Hiya <name_char>! You feeling alright?
Message_2_Page_0 We're lucky to have you amongst our ranks, how can I help?

Response_0 What do you think of this diagnosis?
Response_1 What do you think of this diagnosis?
Response_2 What do you think of this diagnosis?
Response_3 What do you think of this diagnosis?
Response_4 What do you think of this diagnosis?
Response_5 What do you think of this diagnosis?
Response_6 What do you think of this diagnosis?
Response_7 What do you think of this diagnosis?
Response_8 What do you think of this diagnosis?
Response_9 What do you think of this diagnosis?
Response_10 Alright, that's all of them.
Response_11 Nothing right now.
Response_12 Never better.
Response_13 Something like that.
