Message_0_Page_0 Hey! Who let you in here!
Message_1_Page_0 If you need to schedule an appointment please go talk to <color=epic>Doctor Jace</color>.
Message_2_Page_0 All things considered, the situation in here could be a lot worse.

Response_0 What about this diagnosis?
Response_1 What about this diagnosis?
Response_2 What about this diagnosis?
Response_3 What about this diagnosis?
Response_4 What about this diagnosis?
Response_5 What about this diagnosis?
Response_6 What about this diagnosis?
Response_7 What about this diagnosis?
Response_8 What about this diagnosis?
Response_9 What about this diagnosis?
Response_10 That's all of them.
Response_11 Anyway I can be of assistance?
Response_12 Possibly.
Response_13 Understood.
Response_14 Uh...
